time,pos_x,pos_y,vel_x,vel_y
9038.000000,3194094.845019,-5627204.193189,6926.165429,3461.873674
9039.000000,3201016.310911,-5623734.040093,6921.465891,3470.153096
9040.000000,3207933.067961,-5620255.614229,6916.757050,3478.425865
9041.000000,3214845.106877,-5616768.922257,6912.038917,3486.691972
9042.000000,3221752.418377,-5613273.970849,6907.311500,3494.951408
9043.000000,3228654.993187,-5609770.766685,6902.574810,3503.204164
9044.000000,3235552.822044,-5606259.316453,6897.828857,3511.450232
9045.000000,3242445.895694,-5602739.626850,6893.073650,3519.689603
9046.000000,3249334.204895,-5599211.704581,6888.309200,3527.922269
9047.000000,3256217.740412,-5595675.556361,6883.535517,3536.148220
9048.000000,3263096.493022,-5592131.188914,6878.752610,3544.367447
9049.000000,3269970.453512,-5588578.608971,6873.960490,3552.579943
9050.000000,3276839.612678,-5585017.823273,6869.159166,3560.785698
9051.000000,3283703.961326,-5581448.838569,6864.348648,3568.984704
9052.000000,3290563.490272,-5577871.661616,6859.528946,3577.176953
9053.000000,3297418.190343,-5574286.299182,6854.700071,3585.362434
9054.000000,3304268.052374,-5570692.758040,6849.862031,3593.541141
9055.000000,3311113.067212,-5567091.044976,6845.014838,3601.713065
9056.000000,3317953.225713,-5563481.166780,6840.158501,3609.878196
9057.000000,3324788.518742,-5559863.130254,6835.293029,3618.036526
9058.000000,3331618.937176,-5556236.942207,6830.418434,3626.188047
9059.000000,3338444.471901,-5552602.609457,6825.534724,3634.332750
9060.000000,3345265.113811,-5548960.138830,6820.641911,3642.470627
9061.000000,3352080.853814,-5545309.537161,6815.740003,3650.601669
9062.000000,3358891.682825,-5541650.811293,6810.829011,3658.725868
9063.000000,3365697.591769,-5537983.968079,6805.908944,3666.843215
9064.000000,3372498.571583,-5534309.014377,6800.979814,3674.953701
9065.000000,3379294.613212,-5530625.957058,6796.041629,3683.057320
9066.000000,3386085.707613,-5526934.802997,6791.094400,3691.154061
9067.000000,3392871.845750,-5523235.559081,6786.138137,3699.243916
9068.000000,3399653.018599,-5519528.232204,6781.172849,3707.326878
9069.000000,3406429.217147,-5515812.829267,6776.198548,3715.402937
9070.000000,3413200.432388,-5512089.357181,6771.215242,3723.472085
9071.000000,3419966.655329,-5508357.822866,6766.222941,3731.534315
9072.000000,3426727.876986,-5504618.233249,6761.221657,3739.589617
9073.000000,3433484.088384,-5500870.595265,6756.211398,3747.637984
9074.000000,3440235.280558,-5497114.915858,6751.192175,3755.679407
9075.000000,3446981.444555,-5493351.201981,6746.163997,3763.713877
9076.000000,3453722.571431,-5489579.460594,6741.126876,3771.741387
9077.000000,3460458.652251,-5485799.698666,6736.080820,3779.761928
9078.000000,3467189.678092,-5482011.923175,6731.025840,3787.775492
9079.000000,3473915.640038,-5478216.141104,6725.961946,3795.782071
9080.000000,3480636.529186,-5474412.359448,6720.889148,3803.781656
9081.000000,3487352.336642,-5470600.585209,6715.807456,3811.774239
9082.000000,3494063.053522,-5466780.825396,6710.716880,3819.759813
